# Likely CC-terminated encoded text payloads; no TBL applied.
# offset	length	raw bytes	placeholder rendering
0x01CC57	005D	C9 C6 C3 C0 BE BB B8 B6 B3 B1 AE AC AA A7 A5 A3 A1 9F 9D 9B 99 97 95 93 92 90 8F 8D 8C 8A 89 88 87 86 85 84 83 83 82 81 81 81 81 81 81 81 81 81 81 81 81 81 81 81 82 83 83 84 85 86 87 88 89 8A 8C 8D 8F 90 92 93 95 97 99 9B 9D 9F A1 A3 A5 A7 AA AC AE B1 B3 B6 B8 BB BE C0 C3 C6 C9	<C9><C6><C3><C0><BE><BB><B8><B6><B3><B1><AE><AC><AA><A7><A5><A3><A1><9F><9D><9B><99><97><95><93><92><90><8F><8D><8C><8A><89><88><87><86><85><84><83><83><82><81><81><81><81><81><81><81><81><81><81><81><81><81><81><81><82><83><83><84><85><86><87><88><89><8A><8C><8D><8F><90><92><93><95><97><99><9B><9D><9F><A1><A3><A5><A7><AA><AC><AE><B1><B3><B6><B8><BB><BE><C0><C3><C6><C9>
0x01D60B	0010	D0 44 64 54 20 80 03 80 2B 0D 41 4F 3C 60 1F D2	<D0>DdT <80><03><80>+<0D>AO<`<1F><D2>
0x01D686	001B	D0 44 53 D4 3B 3C 4D 5B D5 54 20 D4 62 45 3C 42 63 D5 CD 0D 41 59 48 68 52 1F D2	<D0>DS<D4>;<M[<D5>T <D4>bE<Bc<D5><CD><0D>AYHhR<1F><D2>
0x01D6D8	0052	C1 03 11 C7 0D 04 00 3F 59 3E 45 68 54 20 5D 3D 76 80 2C 5D CD D4 65 18 6E 4E D5 67 20 80 2D 6E 4D 3F 63 06 6F 65 3D CD 49 64 0A 43 3F 64 14 20 80 2E 80 2F 06 6F 1F C0 D0 58 3C 20 41 4A 6E 7D 45 6E 49 42 CD 80 23 80 24 50 4E 62 40 40 63 09 7D 7D	<C1><03><11><C7><0D><04><00>?Y>EhT ]=v<80>,]<CD><D4>e<18>nN<D5>g <80>-nM?c<06>oe=<CD>Id<0A>C?d<14> <80>.<80>/<06>o<1F><C0><D0>X< AJn}EnIB<CD><80>#<80>$PNb@@c<09>}}
0x01D760	0013	D0 D4 5C 68 4D 4F 68 47 D5 00 80 30 66 62 59 46 4A 1F D2	<D0><D4>\hMOhG<D5><00><80>0fbYFJ<1F><D2>
0x01D859	000F	D0 44 53 80 02 67 4E 3D 65 42 46 59 47 40 0F	<D0>DS<80><02>gN=eBFYG@<0F>
0x01D869	000E	D0 20 4E 3D 65 42 20 20 20 20 45 42 06 71	<D0> N=eB    EB<06>q
0x01D89F	002F	DD C1 08 03 C7 0A 0B FF 20 20 80 33 80 34 53 41 65 42 C1 08 15 41 65 42 67 80 0F 68 0D 42 0A 45 3C 20 CD 20 20 20 20 20 20 20 20 20 20 20 20	<DD><C1><08><03><C7><0A><0B><FF>  <80>3<80>4SAeB<C1><08><15>AeBg<80><0F>h<0D>B<0A>E< <CD>            
0x01D8CF	007F	DD C1 08 03 C7 0A 0B FF 20 20 41 65 42 53 D4 44 1A 73 D5 CD CD 20 20 20 20 20 20 20 20 20 20 20 20 CD 20 20 20 20 20 20 20 20 20 20 20 20 CD 20 20 20 20 20 20 20 20 20 20 20 20 CD 20 20 20 20 20 20 20 20 20 20 20 20 CD 20 20 20 20 20 20 20 20 20 20 20 20 CD 20 20 20 20 20 20 20 20 20 20 20 20 CD CD 0E 64 67 D4 44 1A 73 D5 46 59 47 40 0F 20 CD 20 20 20 20 20 20 20 20 20 20 20 20	<DD><C1><08><03><C7><0A><0B><FF>  AeBS<D4>D<1A>s<D5><CD><CD>            <CD>            <CD>            <CD>            <CD>            <CD>            <CD><CD><0E>dg<D4>D<1A>s<D5>FYG@<0F> <CD>            
0x01D96F	001F	DD C1 08 15 20 5E 5C 4D 3F 42 20 20 20 20 20 20 CD 20 D4 44 1A 73 D5 47 63 20 20 20 20 20 20	<DD><C1><08><15> ^\M?B      <CD> <D4>D<1A>s<D5>Gc      
0x01D9DE	001E	DD C1 08 15 20 5E 5C 4D 3F 42 20 20 20 20 20 20 CD 20 80 35 46 59 47 20 20 20 20 20 20 20	<DD><C1><08><15> ^\M?B      <CD> <80>5FYG       
0x01DC5D	0032	80 39 80 3A 80 3B 53 D4 4F 01 45 D5 45 68 4E 20 80 3C 80 3D 0D 41 63 CD 46 40 46 20 80 3E 80 3F 80 40 80 41 00 80 42 3C 4E CD 80 3C 80 3D 0D 41 4F 3C	<80>9<80>:<80>;S<D4>O<01>E<D5>EhN <80><<80>=<0D>Ac<CD>F@F <80>><80>?<80>@<80>A<00><80>B<N<CD><80><<80>=<0D>AO<
0x01DC90	0031	80 08 3D 4E 20 80 43 41 4F 80 44 00 80 45 63 D4 58 73 68 D5 CD 80 46 67 3F 0E 40 46 4A 62 20 80 47 80 48 67 55 3C 4A 62 CD 47 63 44 4E 00 0D 41 63	<80><08>=N <80>CAO<80>D<00><80>Ec<D4>Xsh<D5><CD><80>Fg?<0E>@FJb <80>G<80>HgU<Jb<CD>GcDN<00><0D>Ac
0x01DCC2	0024	5D 02 61 80 49 53 D4 0E 62 63 D5 CD 5E 66 61 40 3C 80 4A 5E 40 17 00 CD 44 64 0D 20 58 63 44 4E 00 0D 41 63	]<02>a<80>IS<D4><0E>bc<D5><CD>^fa@<<80>J^@<17><00><CD>Dd<0D> XcDN<00><0D>Ac
0x01DCE7	0036	44 64 67 80 4B 50 59 4E 3D 4E 20 46 14 61 42 CD 80 4C 80 2F 53 80 4D 67 20 80 35 47 44 4E 00 0D 41 63 CD 80 4E 80 4F 00 80 35 3E 63 4E 20 4F 42 4F 6E 4D 46 59 3D	Ddg<80>KPYN=N F<14>aB<CD><80>L<80>/S<80>Mg <80>5GDN<00><0D>Ac<CD><80>N<80>O<00><80>5>cN OBOnMFY=
0x01DD1E	003A	44 64 67 20 80 08 3D 4E 20 D4 52 07 5A D5 50 80 50 80 4B 46 4D CD D4 52 07 5A 80 51 D5 67 20 80 3C 63 44 4E 00 0D 41 4A 62 CD D4 52 07 5A D5 4E 20 80 52 47 44 4E 00 0D 41 63	Ddg <80><08>=N <D4>R<07>Z<D5>P<80>P<80>KFM<CD><D4>R<07>Z<80>Q<D5>g <80><cDN<00><0D>AJb<CD><D4>R<07>Z<D5>N <80>RGDN<00><0D>Ac
0x01DD59	0031	44 64 67 80 0D 80 0E 46 4D 3F 42 4E CD 80 53 53 D4 66 4F D5 5E 20 40 42 46 D4 4E 15 61 D5 4F 0E CD 56 0A 68 20 80 54 3E 4F 3C 5D 53 00 80 54 3E 63	Ddg<80><0D><80><0E>FM?BN<CD><80>SS<D4>fO<D5>^ @BF<D4>N<15>a<D5>O<0E><CD>V<0A>h <80>T>O<]S<00><80>T>c
0x01DDB0	0031	80 55 80 56 80 57 80 58 7E 80 59 80 5A 80 43 80 5B 4F 0E 67 44 4F 47 CD D4 65 18 6E 4E D5 CD 81 37 6E 4D 3C 63 80 46 50 20 80 5C 46 4D 3B 03 60 3D	<80>U<80>V<80>W<80>X~<80>Y<80>Z<80>C<80>[O<0E>gDOG<CD><D4>e<18>nN<D5><CD><81>7nM<c<80>FP <80>\FM;<03>`=
0x01DDE2	0014	42 61 5E 5A 67 4D 61 47 44 4E 53 0D 41 63 CD D4 61 3C 4E D5	Ba^ZgMaGDNS<0D>Ac<CD><D4>a<N<D5>
0x01DDF7	001E	80 5D 0D 80 36 50 80 31 64 4A 20 80 5E 53 4A 52 CD 49 53 80 08 3C 80 5F 54 20 80 60 80 14	<80>]<0D><80>6P<80>1dJ <80>^SJR<CD>IS<80><08><<80>_T <80>`<80><14>
0x01DE16	0036	D4 40 73 63 D5 53 3F 4E 3D 45 68 00 42 64 4A CD 80 61 80 1E 80 62 0D 20 80 63 3C 4D 3C 43 4F 3C 60 3D 4F CD 80 64 80 65 57 20 80 66 80 67 47 63 44 4E 00 0D 41 63	<D4>@sc<D5>S?N=Eh<00>BdJ<CD><80>a<80><1E><80>b<0D> <80>c<M<CO<`=O<CD><80>d<80>eW <80>f<80>gGcDN<00><0D>Ac
0x01DE4D	0026	44 64 50 80 68 63 4E 20 54 63 40 80 69 80 6A 53 40 4F 4A CD D4 46 71 44 61 80 6B D5 57 4E 20 80 66 80 67 0D 41 63	DdP<80>hcN Tc@<80>i<80>jS@OJ<CD><D4>FqDa<80>k<D5>WN <80>f<80>g<0D>Ac
0x01DEA7	001C	44 64 67 80 4B 50 4C 43 63 4E CD 80 67 80 6D 4E 20 80 52 00 0D 41 63 60 3D 50 4F 63	Ddg<80>KPLCcN<CD><80>g<80>mN <80>R<00><0D>Ac`=POc
0x01DEC4	002E	80 0D 80 0E 47 63 4E 20 D4 44 68 1A 70 73 4A 73 D5 53 CD 80 1C 50 80 31 64 63 60 3D 50 4F 63 4E 3C 3D CD D4 45 3C 14 73 D5 4F 46 65 5D 53	<80><0D><80><0E>GcN <D4>Dh<1A>psJs<D5>S<CD><80><1C>P<80>1dc`=POcN<=<CD><D4>E<<14>s<D5>OFe]S
0x01DEF3	0024	D4 54 6E 40 73 80 69 80 6A 80 0A 80 6E D5 53 CD D4 3E 68 06 68 D5 67 80 6F 5C 63 20 80 70 3C D4 1D 6E 4E D5	<D4>Tn@s<80>i<80>j<80><0A><80>n<D5>S<CD><D4>>h<06>h<D5>g<80>o\c <80>p<<D4><1D>nN<D5>
0x01DF18	0024	D4 54 6E 40 73 80 69 80 6A 80 0A 80 6E D5 53 CD D4 3E 68 06 68 D5 67 80 6F 5C 63 20 80 71 3C D4 1D 6E 4E D5	<D4>Tn@s<80>i<80>j<80><0A><80>n<D5>S<CD><D4>>h<06>h<D5>g<80>o\c <80>q<<D4><1D>nN<D5>
0x01DF3D	0026	D4 54 6E 40 73 80 69 80 6A 80 0A 80 6E D5 53 CD D4 3E 68 06 68 D5 67 80 6F 5C 63 20 80 72 80 73 3C D4 1D 6E 4E D5	<D4>Tn@s<80>i<80>j<80><0A><80>n<D5>S<CD><D4>>h<06>h<D5>g<80>o\c <80>r<80>s<<D4><1D>nN<D5>
0x01DF78	0019	D4 40 73 63 D5 53 3F 4E 3D 45 68 40 61 CD D4 40 73 63 D5 57 53 80 36 80 76	<D4>@sc<D5>S?N=Eh@a<CD><D4>@sc<D5>WS<80>6<80>v
0x01DF92	0015	D4 40 73 63 D5 00 0E 3D 42 4C 0D 80 54 4C 43 4A CD 80 75 80 77	<D4>@sc<D5><00><0E>=BL<0D><80>TLCJ<CD><80>u<80>w
0x01DFA8	0026	D4 54 6E 40 73 D5 53 80 78 80 79 46 40 80 31 64 4F 3C 80 18 80 3B 57 CD 80 31 63 44 4E 53 0D 41 63 D4 14 6E 4B D5	<D4>Tn@s<D5>S<80>x<80>yF@<80>1dO<<80><18><80>;W<CD><80>1cDNS<0D>Ac<D4><14>nK<D5>
0x01DFE8	0023	80 60 80 7A 80 7B 4F 80 7C 67 20 D4 41 61 41 61 D5 4E 80 7D 4C CD 80 60 80 7A 80 7B 4F 80 75 20 49 53 74	<80>`<80>z<80>{O<80>|g <D4>AaAa<D5>N<80>}L<CD><80>`<80>z<80>{O<80>u ISt
0x01E00C	0023	80 60 80 7A 80 7B 4F 80 7C 67 20 D4 41 61 41 61 D5 4E 80 7D 4C CD 80 60 80 7A 80 7B 4F 80 75 20 49 53 75	<80>`<80>z<80>{O<80>|g <D4>AaAa<D5>N<80>}L<CD><80>`<80>z<80>{O<80>u ISu
0x01E030	0023	80 60 80 7A 80 7B 4F 80 7C 67 20 D4 41 61 41 61 D5 4E 80 7D 4C CD 80 60 80 7A 80 7B 4F 80 75 20 49 53 76	<80>`<80>z<80>{O<80>|g <D4>AaAa<D5>N<80>}L<CD><80>`<80>z<80>{O<80>u ISv
0x01E054	0024	54 4F 64 80 80 0D 80 36 50 80 31 64 4A 20 80 70 3C 80 5E CD 82 2E 81 86 50 20 80 4E 80 4F 00 3B 63 61 46 3C	TOd<80><80><0D><80>6P<80>1dJ <80>p<<80>^<CD><82>.<81><86>P <80>N<80>O<00>;caF<
0x01E07F	001D	0E 3D 42 4C 0D 55 65 6E 4A 5D 53 CD 45 15 4D 3C 4D 20 44 53 59 59 0D 54 80 08 3E 4F 3C	<0E>=BL<0D>UenJ]S<CD>E<15>M<M DSYY<0D>T<80><08>>O<
0x01E0BA	001B	D4 1D 62 68 41 73 80 55 D5 53 54 3C 41 71 0D 5D 61 6E 4A CD D4 47 42 61 6E 1B D5	<D4><1D>bhAs<80>U<D5>ST<Aq<0D>]anJ<CD><D4>GBan<1B><D5>
0x01E0D6	0021	80 27 80 14 D4 59 46 68 D5 0D 20 3C 65 68 4F 5D 53 4E CD 80 03 80 2B 0D 41 63 D4 47 42 61 6E 1B D5	<80>'<80><14><D4>YFh<D5><0D> <ehO]SN<CD><80><03><80>+<0D>Ac<D4>GBan<1B><D5>
0x01E131	0017	D4 65 18 6E 4E D5 53 25 2E 25 32 27 39 67 CD 80 0B 80 0C 47 63 5D 53	<D4>e<18>nN<D5>S%.%2'9g<CD><80><0B><80><0C>Gc]S
0x01E149	002C	D4 45 15 D5 4D 46 59 6E 4D 20 25 2E 25 32 27 39 00 CD 0E 68 0E 68 80 86 6E 4D 3C 63 CD D4 65 18 6E 4E D5 67 80 85 50 5D 0E 47 5D 53	<D4>E<15><D5>MFYnM %.%2'9<00><CD><0E>h<0E>h<80><86>nM<c<CD><D4>e<18>nN<D5>g<80><85>P]<0E>G]S
0x01E176	0020	D4 47 42 61 6E 1B D5 50 4F 6E 4D 46 59 6E 4A CD D4 65 18 6E 4E D5 67 20 80 85 50 5D 0E 47 5D 53	<D4>GBan<1B><D5>POnMFYnJ<CD><D4>e<18>nN<D5>g <80><85>P]<0E>G]S
0x01E1B5	002D	4F 68 4E 20 80 4C 80 2F 0D 80 88 80 89 67 CD 80 4C 80 8A 50 80 8B 63 44 4E 00 0D 41 63 4E 3C 3D CD 3F 0E 65 42 17 41 80 27 80 14 80 8C	OhN <80>L<80>/<0D><80><88><80><89>g<CD><80>L<80><8A>P<80><8B>cDN<00><0D>AcN<=<CD>?<0E>eB<17>A<80>'<80><14><80><8C>
0x01E1E3	0038	D4 18 42 D5 54 20 D4 04 5A 80 8D D5 42 68 0D 47 CD 80 8E 4D 4A 3C D4 3B 3C 4D 5B D5 67 3E 61 68 0D CD 75 D4 44 80 8F D5 53 D4 40 73 49 63 D5 67 3B 66 48 4D 42 0A 45 3C	<D4><18>B<D5>T <D4><04>Z<80><8D><D5>Bh<0D>G<CD><80><8E>MJ<<D4>;<M[<D5>g>ah<0D><CD>u<D4>D<80><8F><D5>S<D4>@sIc<D5>g;fHMB<0A>E<
0x01E388	000A	D4 56 63 5C 4A 63 3B 42 47 D5	<D4>Vc\Jc;BG<D5>
0x01E6A8	000A	3F 4D 68 41 D4 59 59 D5 45 68	?MhA<D4>YY<D5>Eh
0x01E723	0100	90 01 20 3B 20 3C 20 3D 20 3E 20 3F 20 40 20 41 20 42 20 43 20 44 0D 20 45 20 46 20 47 20 48 20 49 20 4A 20 4B 20 4C 20 4D 20 4E 0D 20 4F 20 50 20 51 20 52 20 53 20 54 20 55 20 56 20 57 20 58 0D 20 59 20 5A 20 5B 20 5C 20 5D 20 5E 20 5F 20 60 0D 20 61 20 62 20 63 20 64 20 65 20 66 20 67 20 68 0D 20 40 82 20 41 82 20 42 82 20 43 82 20 44 82 20 45 82 20 46 82 20 47 82 20 48 82 20 49 82 0D 20 4A 82 20 4B 82 20 4C 82 20 4D 82 20 4E 82 20 54 82 20 55 82 20 56 82 20 57 82 20 58 82 0D 20 54 83 20 55 83 20 56 83 20 57 83 20 58 83 20 69 20 6A 20 6B 20 6C 20 6D 0D 20 F3 20 FD 20 7D 20 7E 20 7F 20 6E 20 6F 20 70 20 71 20 20 0D 00 03 04 02 7B E9 81 07 15 13 90 01 20 BB 20 BC 20 BD 20 BE 20 BF 20 C0 20 C1 20 C2 20 C3 20 C4 0D 20 C5 20 C6 20 C7 20 C8 20 C9 20 CA 20 CB 20	<90><01> ; < = > ? @ A B C D<0D> E F G H I J K L M N<0D> O P Q R S T U V W X<0D> Y Z [ \ ] ^ _ `<0D> a b c d e f g h<0D> @<82> A<82> B<82> C<82> D<82> E<82> F<82> G<82> H<82> I<82><0D> J<82> K<82> L<82> M<82> N<82> T<82> U<82> V<82> W<82> X<82><0D> T<83> U<83> V<83> W<83> X<83> i j k l m<0D> <F3> <FD> } ~ <7F> n o p q  <0D><00><03><04><02>{<E9><81><07><15><13><90><01> <BB> <BC> <BD> <BE> <BF> <C0> <C1> <C2> <C3> <C4><0D> <C5> <C6> <C7> <C8> <C9> <CA> <CB> 
0x022779	000C	0A 20 73 02 A8 25 D0 BA 47 30 31 81	<0A> s<02><A8>%<D0><BA>G01<81>
0x022C96	000C	0A 20 73 02 A8 25 D0 BA 47 30 31 81	<0A> s<02><A8>%<D0><BA>G01<81>
0x022FE6	0089	A2 53 2A 09 84 4C 16 D1 A9 34 AF CD 2C 93 46 83 4F 11 93 C0 86 A1 27 8B 8A A2 FD 7F 81 E0 B0 71 21 54 6A A8 D0 3C 36 1C 93 34 2A 25 F6 07 7F 24 BC 52 15 0C 84 40 E1 30 C8 5C 55 E2 B0 D4 10 44 23 71 34 10 BC 62 21 1C 0D 32 3F DF E7 20 8E 48 41 2E 10 29 14 72 46 19 71 01 49 23 92 51 4B 8C 08 6A 14 01 CB 8C 0A 07 03 BE 92 5C 80 45 40 34 41 81 20 6F 8B 22 0B E2 4E 41 2D 97 4B CF 2E 80 38 22 22 D3 01 77 4C 59 53	<A2>S*<09><84>L<16><D1><A9>4<AF><CD>,<93>F<83>O<11><93><C0><86><A1>'<8B><8A><A2><FD><7F><81><E0><B0>q!Tj<A8><D0><6<1C><93>4*%<F6><07><7F>$<BC>R<15><0C><84>@<E1>0<C8>\U<E2><B0><D4><10>D#q4<10><BC>b!<1C><0D>2?<DF><E7> <8E>HA.<10>)<14>rF<19>q<01>I#<92>QK<8C><08>j<14><01><CB><8C><0A><07><03><BE><92>\<80>E@4A<81> o<8B>"<0B><E2>NA-<97>K<CF>.<80>8""<D3><01>wLYS
0x0265D6	000F	6E 21 04 A0 28 E2 30 44 3D A6 49 08 56 6A 62	n!<04><A0>(<E2>0D=<A6>I<08>Vjb
0x048578	0016	86 40 8E 58 05 20 2E 8D 20 23 8D C9 00 F0 30 F4 7F 85 0A 90 03 4C	<86>@<8E>X<05> .<8D> #<8D><C9><00><F0>0<F4><7F><85><0A><90><03>L
0x04EE09	005F	02 CB 6B C1 03 15 C7 0D 02 FF DC 06 D6 00 49 68 4F D4 65 44 44 80 99 D5 50 20 80 27 80 14 80 55 53 81 9E 67 80 2D 4C CD 81 3A 81 0A 00 20 55 6E 44 46 4D 41 4A E1 D0 DC 06 D6 00 20 20 20 81 3A 81 0A 53 81 50 54 20 81 9E 53 60 3D 4F CD 20 20 20 80 27 80 14 80 55 50 4F 63 44 4E 0A 6E 4A	<02><CB>k<C1><03><15><C7><0D><02><FF><DC><06><D6><00>IhO<D4>eDD<80><99><D5>P <80>'<80><14><80>US<81><9E>g<80>-L<CD><81>:<81><0A><00> UnDFMAJ<E1><D0><DC><06><D6><00>   <81>:<81><0A>S<81>PT <81><9E>S`=O<CD>   <80>'<80><14><80>UPOcDN<0A>nJ
0x058AF4	0100	D4 18 4A 68 D5 0D CD D4 4B 6F 3C 5B D5 67 4F 61 47 C3 00 68 0A 08 CD CD 81 28 4F 61 20 55 6E 44 46 49 14 0D 3C 3C 40 61 4F 1F C0 D7 80 26 20 81 01 15 50 80 1E 42 81 29 80 FE 46 4D 63 53 CD 3B 6E 4B 80 1E 6E 4D 4D 60 1F C0 D7 44 53 3B 3C 0A 54 20 3B 62 00 4E 3D CD 80 50 4F 81 2A 0A 4E 80 7A 6E 4D 4A 68 0A 43 0E CD 50 3C 4B 6F 68 6E 4D CD 43 6E 44 3D 4A 60 62 50 4F 63 06 6F 68 7D C0 D7 3E 0F 44 53 81 2B 53 80 27 80 14 80 8C 67 81 6C 48 0F CD 5E D4 73 D5 0A 60 CD 0A 6E 4D 20 80 21 81 2D 3C 68 0A 5D 68 1F C0 D7 7E 7E 7E 0A 7E 0A 64 0F C0 D7 3D 7E C9 1E 3D 66 D4 73 D5 68 20 04 5C 68 4F 45 3C 7D CD 5D 3D 20 66 63 45 46 4F 3C 60 6D 6E 7D CD 44 64 5D 20 81 6C 46 59 47 6B 6E 7D 7D D1 20 C2 00 54 20 C3 02 15 6E 42 62 D4 58 73 68 D5 C3 00 67 CD 20 4E 62 40 3E 46 4A 7D	<D4><18>Jh<D5><0D><CD><D4>Ko<[<D5>gOaG<C3><00>h<0A><08><CD><CD><81>(Oa UnDFI<14><0D><<@aO<1F><C0><D7><80>& <81><01><15>P<80><1E>B<81>)<80><FE>FMcS<CD>;nK<80><1E>nMM`<1F><C0><D7>DS;<<0A>T ;b<00>N=<CD><80>PO<81>*<0A>N<80>znMJh<0A>C<0E><CD>P<KohnM<CD>CnD=J`bPOc<06>oh}<C0><D7>><0F>DS<81>+S<80>'<80><14><80><8C>g<81>lH<0F><CD>^<D4>s<D5><0A>`<CD><0A>nM <80>!<81>-<h<0A>]h<1F><C0><D7>~~~<0A>~<0A>d<0F><C0><D7>=~<C9><1E>=f<D4>s<D5>h <04>\hOE<}<CD>]= fcEFO<`mn}<CD>Dd] <81>lFYGkn}}<D1> <C2><00>T <C3><02><15>nBb<D4>Xsh<D5><C3><00>g<CD> Nb@>FJ}
0x0591F3	0100	C5 92 02 1C 02 02 06 92 6B 02 1D CF 93 6B 02 1D F4 92 6B 11 92 0C 92 11 92 02 1D 2A 93 6B 02 1D A1 93 6B D7 58 3F 20 C9 1E 18 3D 5E 00 20 D4 3B 41 54 14 61 D5 45 68 53 CD 80 E3 81 02 45 68 40 52 0F CD D4 3B 41 54 14 61 D5 45 68 5D 20 81 34 80 01 54 CD 44 53 80 99 50 20 80 DD 68 0D 3F 6E 4A 68 0A 60 D1 4F 68 0D 5D 20 80 27 80 14 4E 40 50 81 12 81 13 46 4D CD 80 43 45 66 01 50 4F 6E 4A 44 4E 00 3B 6E 4D 4F CD C9 1E 49 64 40 61 20 80 99 40 61 54 4F 64 4A 80 3B 50 CD 3D 4C 62 4F 45 6E 4A 60 3D 0A 00 4F 1F C0 D7 59 3B 20 81 35 3C 3D 4B 54 CD 81 12 81 13 67 3F 49 64 07 50 20 3C 65 3C 65 4E CD 5E 6E 4D 5A 63 44 4E 06 6F 60 1F C0 D7 3C 3C 80 88 80 89 06 6F 53 3F 20 18 3D 5E CD 80 52 0D 5D 46 4D 3C 40 68 40 52 0F CD 20 3D 68 20 80 52 49 3D CD 20 80 26 54 20 3C 3C 60	<C5><92><02><1C><02><02><06><92>k<02><1D><CF><93>k<02><1D><F4><92>k<11><92><0C><92><11><92><02><1D>*<93>k<02><1D><A1><93>k<D7>X? <C9><1E><18>=^<00> <D4>;AT<14>a<D5>EhS<CD><80><E3><81><02>Eh@R<0F><CD><D4>;AT<14>a<D5>Eh] <81>4<80><01>T<CD>DS<80><99>P <80><DD>h<0D>?nJh<0A>`<D1>Oh<0D>] <80>'<80><14>N@P<81><12><81><13>FM<CD><80>CEf<01>POnJDN<00>;nMO<CD><C9><1E>Id@a <80><99>@aTOdJ<80>;P<CD>=LbOEnJ`=<0A><00>O<1F><C0><D7>Y; <81>5<=KT<CD><81><12><81><13>g?Id<07>P <e<eN<CD>^nMZcDN<06>o`<1F><C0><D7><<<80><88><80><89><06>oS? <18>=^<CD><80>R<0D>]FM<@h@R<0F><CD> =h <80>RI=<CD> <80>&T <<`
