# C0-terminated main-dialogue review catalog; generated from the verified Japanese ROM.
# id	file offset	length	raw bytes	Japanese	Korean translation	status
C0-058743	0x058743	01C6	D7 10 44 68 50 4B 54 20 D4 5A 68 4E D5 0D 47 CD 20 81 1D 80 F1 44 53 80 99 50 4E 4C 08 68 3B 61 66 64 4A CD 20 D4 54 6E 40 73 D5 53 20 81 1E 53 80 8F 81 1F 4E 54 0F 7D CD 20 49 53 80 ED 80 79 00 20 3B 41 61 40 50 4F 6E 4A 66 D1 20 81 20 61 54 20 C3 02 D4 4D 6A 3B 4E 65 68 D5 C3 00 4E 3C 3D 80 75 67 CD 20 45 00 46 4D 3C 63 61 46 3C 53 60 CD 20 0D 5D 20 49 53 80 75 53 81 21 81 22 54 59 0A CD 20 54 6E 41 62 4E 54 20 66 40 61 4F 3C 66 D1 20 59 0A 20 D4 54 6E 40 73 D5 50 4C 3C 4D 54 CD 20 80 60 80 14 4F 44 4E 00 20 81 23 3C 43 0E CD 20 55 41 4C 0C 41 20 44 53 81 18 81 19 54 CD 20 5E 6E 4D 3C 42 4C 5D 62 60 D1 D3 2B 87 D7 10 44 68 50 4B 54 20 D4 5A 68 4E D5 0D 47 CD 20 4F 68 4E 20 80 99 80 82 80 CD 80 38 53 D4 65 73 07 D5 45 68 54 CD 20 3B 53 D4 54 6E 40 73 D5 53 80 ED 80 98 0A 6E 4A 44 4E 00 CD 20 3B 41 61 40 50 4F 6E 4A 66 7D D1 20 49 64 50 D4 54 6E 40 73 D5 53 80 36 50 60 6E 4D CD 20 80 D9 80 6D 53 80 99 80 82 54 20 40 68 41 68 45 64 CD 20 50 48 5D 53 00 20 80 99 80 82 53 40 66 62 50 CD 20 80 99 80 82 53 81 09 80 56 67 80 1E 6E 4D 3C 4A 53 60 D1 20 D4 65 44 44 80 99 D5 67 D4 54 6E 40 73 D5 53 80 36 40 61 CD 20 81 9C 6E 4A 53 54 20 D4 65 44 44 80 99 80 8A 80 DD D5 53 CD 20 C2 00 42 68 7D CD 20 81 20 53 80 36 0D 20 80 99 80 82 5D 81 9C 80 45 45 64 4A 66 D1 D3 D5 87 C3 03 20 D4 65 44 44 80 99 80 56 81 24 81 25 81 26 D5 20 D4 5A 68 4E D5 C3 00 11	[DFT]┌こんにちは [KATAKANA]ミント[HIRAGANA]です\n 最近この町にとつぜんあらわれた\n [KATAKANA]ハッカー[HIRAGANA]の 真の目的とは?!\n その一部が あきらかになったわ[FIN] 彼らは [PAL:02][KATAKANA]ティアトロン[HIRAGANA][PAL:00]という石を\n さがしているらしいのよ\n でも その石の正体はまだ\n はっきりとは わからないわ[FIN] まだ [KATAKANA]ハッカー[HIRAGANA]については\n 不明なことが 多いけど\n ひきつづき この取材は\n やっていくつもりよ[FIN][JMP]K[BYTE:87][DFT]┌こんにちは [KATAKANA]ミント[HIRAGANA]です\n なんと 町長秘書の[KATAKANA]ローズ[HIRAGANA]さんは\n あの[KATAKANA]ハッカー[HIRAGANA]の一員だったことが\n あきらかになったわ![FIN] それに[KATAKANA]ハッカー[HIRAGANA]の手によって\n 本物の町長は かんきんされ\n にせものが 町長のかわりに\n 町長の仕事を行っていたのよ[FIN] [KATAKANA]ロココ町[HIRAGANA]を[KATAKANA]ハッカー[HIRAGANA]の手から\n 救ったのは [KATAKANA]ロココ町在住[HIRAGANA]の\n [NAM:00]くん!\n 彼の手で 町長も救出されたわ[FIN][JMP][HIRAGANA][BYTE:87][PAL:03] [KATAKANA]ロココ町事件記者[HIRAGANA] [KATAKANA]ミント[HIRAGANA][PAL:00]┘		pending
C0-058AA3	0x058AA3	007B	D7 50 3C 4B 6F 68 20 49 53 80 55 50 CD 55 6E 44 46 4D 41 4A 68 0A 65 0F CD 06 6F 3B 20 44 53 80 99 67 80 63 42 80 B0 80 D9 67 CD D4 18 42 D5 00 81 1A 81 27 50 20 80 DB 3E 4E 3C 4D 5E 63 60 D1 80 46 53 80 55 50 80 31 63 80 87 54 C3 02 E2 80 00 D4 18 4A 68 D5 0D CD D4 4B 6F 3C 5B D5 67 4F 61 47 C3 00 68 0A 08 CD CD 81 28 4F 61 20 55 6E 44 46 49 14 0D 3C 3C 40 61 4F 1F	[DFT]にいちゃん その家に\nひっこしてきたんだろ?\nじゃあ この町を步く幽本を\n[KATAKANA]ボク[HIRAGANA]が特別に 教えといてやるよ[FIN]人の家に入る時は[PAL:02][CMD:E2]名[KATAKANA]ボタン[HIRAGANA]で\n[KATAKANA]チャイム[HIRAGANA]をならす[PAL:00]んだぜ\n\n礼なら ひっこしそばでいいからな˳		pending
C0-058B1F	0x058B1F	001E	D7 80 26 20 81 01 15 50 80 1E 42 81 29 80 FE 46 4D 63 53 CD 3B 6E 4B 80 1E 6E 4D 4D 60 1F	[DFT]今 遊びに行く相談してるの\nあっち行っててよ˳		pending
C0-058B3E	0x058B3E	0035	D7 44 53 3B 3C 0A 54 20 3B 62 00 4E 3D CD 80 50 4F 81 2A 0A 4E 80 7A 6E 4D 4A 68 0A 43 0E CD 50 3C 4B 6F 68 6E 4D CD 43 6E 44 3D 4A 60 62 50 4F 63 06 6F 68 7D	[DFT]このあいだは ありがとう\n変な奴だと思ってたんだけど\nにいちゃんって\nけっこうたよりになるじゃん!		pending
C0-058B74	0x058B74	0029	D7 3E 0F 44 53 81 2B 53 80 27 80 14 80 8C 67 81 6C 48 0F CD 5E D4 73 D5 0A 60 CD 0A 6E 4D 20 80 21 81 2D 3C 68 0A 5D 68 1F	[DFT]え?この間の発明品を返せ?\nや[KATAKANA]ー[HIRAGANA]だよ\nだって 面白いんだもん˳		pending
C0-058BA8	0x058BA8	006F	D7 3D 7E C9 1E 3D 66 D4 73 D5 68 20 04 5C 68 4F 45 3C 7D CD 5D 3D 20 66 63 45 46 4F 3C 60 6D 6E 7D CD 44 64 5D 20 81 6C 46 59 47 6B 6E 7D 7D D1 20 C2 00 54 20 C3 02 15 6E 42 62 D4 58 73 68 D5 C3 00 67 CD 20 4E 62 40 3E 46 4A 7D CC D7 18 7E 18 42 20 5D 3D 3C 4A 07 61 54 CD 3B 59 62 46 4F 3C 44 4E 50 46 4A 68 0A CD 58 68 4E 0A 60 7D	[DFT]う·[PAU:1E]うわ[KATAKANA]ー[HIRAGANA]ん ごめんなさい!\nもう わるさしないよぉっ!\nこれも 返しますぅっ!![FIN] [NAM:00]は [PAL:02]びっくり[KATAKANA]ホーン[HIRAGANA][PAL:00]を\n とりかえした![TER][DFT]ぼ·ぼく もういたずらは\nあまりしないことにしたんだ\nほんとだよ!		pending
C0-058C86	0x058C86	003F	D7 47 03 3E 20 80 43 41 4F 80 7C 00 CD 80 AE 80 AF 53 81 04 50 3F 4B 4A 68 0A 08 6E 7D 7D CD 41 6E 4E 3B 64 20 35 26 2F 0A 60 7D CD 80 54 50 80 1E 41 4A 3C 4F 3B C9 1E 20 42 D4 73 D5 6E 7D	[DFT]すげえ 大きな光が\n河原の方におちたんだぜっ!!\nきっとあれ UFOだよ!\n見に行きたいなあ[PAU:1E] く[KATAKANA]ー[HIRAGANA]っ!		pending
C0-058DB6	0x058DB6	003F	D7 81 2C 53 80 A5 0D 20 3C 52 5B 62 46 4D 63 CD 06 3C 4B 6F 68 53 80 52 6E 4D 20 80 21 81 2D 3C 68 0A 08 CD 41 3C 4A 44 4E 3B 63 0F CD 3C 65 68 4F 20 81 2E 80 52 67 46 4D 42 64 63 68 0A 1F	[DFT]木の下で いねむりしてる\nじいちゃんの話って 面白いんだぜ\nきいたことある?\nいろんな 昔話をしてくれるんだ˳		pending
C0-058DF6	0x058DF6	0034	D7 18 42 4A 4B CD 80 33 80 34 53 80 04 80 20 67 81 2F 6E 4D 3C 63 68 0A CD 0D 5D 20 42 66 46 3C 44 4E 54 CD 80 DB 3E 4D 3B 03 4F 3C 60 20 C9 1E 56 56 68 1F	[DFT]ぼくたち\n冒険の計画を練っているんだ\nでも くわしいことは\n教えてあげないよ [PAU:1E]ふふん˳		pending
C0-058E2B	0x058E2B	0039	D7 D4 40 73 63 D5 00 20 D4 54 6E 40 73 D5 53 D4 3B 06 4E D5 67 CD 45 00 46 50 80 1E 44 3D 6E 4D 81 10 3C 0A 46 4A 68 0A CD 80 42 3C 53 54 20 D4 18 42 D5 06 6F 4F 3C 60 7D	[DFT][KATAKANA]カール[HIRAGANA]が [KATAKANA]ハッカー[HIRAGANA]の[KATAKANA]アジト[HIRAGANA]を\nさがしに行こうって言いだしたんだ\n悪いのは [KATAKANA]ボク[HIRAGANA]じゃないよ!		pending
C0-058E65	0x058E65	0056	D7 3E 0F D4 40 73 63 D5 0F 81 0E 61 4F 3C 60 CD 59 0A 20 0E 3D 42 4C 0D CD 55 4E 62 0D CD 00 68 14 6E 4D 3C 63 40 5D 46 64 4F 3C 08 D1 3B 3C 4C 20 08 6E 4A 3C 50 CD D4 54 6E 40 73 D5 53 D4 3B 06 4E D5 67 20 45 00 47 6E 4D CD 54 62 41 6E 4D 4A 5D 68 4F 3B 1F	[DFT]え?[KATAKANA]カール[HIRAGANA]?知らないよ\nまだ どうくつで\nひとりで\nがんばっているかもしれないぜ[FIN]あいつ ぜったいに\n[KATAKANA]ハッカー[HIRAGANA]の[KATAKANA]アジト[HIRAGANA]を さがすって\nはりきってたもんなあ˳		pending
C0-058EBC	0x058EBC	0040	D7 80 26 80 EE 54 20 D4 18 42 D5 4A 4B CD 80 B7 3C 53 80 5D 53 80 BD 50 3B 63 6E 4D 3C 3D CD C3 02 80 B8 80 B9 5E 46 41 C3 00 50 20 4A 68 43 68 50 CD 80 1E 44 3D 40 4E 80 7A 6E 4D 63 68 0A 1F	[DFT]今度は [KATAKANA]ボク[HIRAGANA]たち\n迷いの森の先にあるっていう\n[PAL:02]幽霊やしき[PAL:00]に たんけんに\n行こうかと思ってるんだ˳		pending
C0-058EFD	0x058EFD	003A	D7 3E 0F 44 53 81 2B 5D 61 6E 4A 20 80 27 80 14 80 8C 0F CD 06 6F 68 43 68 50 82 03 43 4D CD 80 99 53 80 31 80 A8 50 3C 63 81 02 50 CD 4E 61 64 4B 6F 6E 4A 68 0A 7E 7E 7E 1F	[DFT]え?この間もらった 発明品?\nじゃんけんに負けて\n町の入口にいる子に\nとられちゃったんだ···˳		pending
C0-059091	0x059091	002D	D7 3F 80 01 20 81 0E 6E 4D 63 40 0F CD E2 00 80 D4 18 4A 68 D5 67 20 3F 46 4F 00 61 80 63 42 4E CD 81 30 42 20 80 63 43 63 68 0A 09 7D	[DFT]お前 知ってるか?\n[CMD:E2]が雪ぼたん[HIRAGANA]を おしながら步くと\n早く 步けるんだぞ!		pending
C0-0590BF	0x0590BF	003F	D7 80 99 80 82 50 20 80 D8 3C 50 80 1E 42 68 0A 65 0F CD 0A 6E 4A 61 20 81 31 67 4C 64 4D 80 1E 42 4E CD 60 65 44 16 4E 80 7A 3D 60 CD 80 99 80 82 54 20 81 31 00 80 43 81 0B 41 4F 68 0A 1F	[DFT]町長に 会いに行くんだろ?\nだったら 犬をつれて行くと\nよろこぶと思うよ\n町長は 犬が大好きなんだ˳		pending
C0-0590FF	0x0590FF	003A	D7 80 D9 81 15 50 20 80 99 80 82 50 80 D8 3D 53 50 CD 81 31 67 20 4C 64 4D 80 1E 6E 4A 53 0F CD 50 3C 4B 6F 68 6E 4D CD 0A 59 45 64 5E 47 3C 68 0A 52 20 C9 1E 56 56 68 6E 1F	[DFT]本当に 町長に会うのに\n犬を つれて行ったの?\nにいちゃんって\nだまされやすいんだね [PAU:1E]ふふんっ˳		pending
C0-05913A	0x05913A	0029	D7 4F 68 0A 60 3F CD 80 26 20 81 32 80 43 80 D8 80 7B 80 1C 4F 68 0A 60 CD 80 52 0A 6E 4A 61 20 81 33 50 46 4D 42 64 60 1F	[DFT]なんだよお\n今 重大会誄中なんだよ\n話だったら 後にしてくれよ˳		pending
C0-059164	0x059164	0037	D7 3B 7D 80 27 80 14 80 55 53 50 3C 4B 6F 68 0A 7D CD 80 27 80 14 80 55 6E 4D 20 47 04 3C 68 0A 52 3E 7D CD 3B 44 00 64 4B 6F 3D 4F D4 73 D5 CD D4 0E 41 0E 41 D5 1F	[DFT]あ!発明家のにいちゃんだ!\n発明家って すごいんだねえ!\nあこがれちゃうな[KATAKANA]ー[HIRAGANA]\n[KATAKANA]ドキドキ[HIRAGANA]˳		pending
C0-059216	0x059216	0086	D7 58 3F 20 C9 1E 18 3D 5E 00 20 D4 3B 41 54 14 61 D5 45 68 53 CD 80 E3 81 02 45 68 40 52 0F CD D4 3B 41 54 14 61 D5 45 68 5D 20 81 34 80 01 54 CD 44 53 80 99 50 20 80 DD 68 0D 3F 6E 4A 68 0A 60 D1 4F 68 0D 5D 20 80 27 80 14 4E 40 50 81 12 81 13 46 4D CD 80 43 45 66 01 50 4F 6E 4A 44 4E 00 3B 6E 4D 4F CD C9 1E 49 64 40 61 20 80 99 40 61 54 4F 64 4A 80 3B 50 CD 3D 4C 62 4F 45 6E 4A 60 3D 0A 00 4F 1F	[DFT]ほお [PAU:1E]ぼうやが [KATAKANA]アキハバラ[HIRAGANA]さんの\n息子さんかね?\n[KATAKANA]アキハバラ[HIRAGANA]さんも 以前は\nこの町に 住んでおったんだよ[FIN]なんでも 発明とかに失敗して\n大さわぎになったことがあってな\n[PAU:1E]それから 町からはなれた所に\nうつりなさったようだがな˳		pending
C0-05929D	0x05929D	0027	D7 59 3B 20 81 35 3C 3D 4B 54 CD 81 12 81 13 67 3F 49 64 07 50 20 3C 65 3C 65 4E CD 5E 6E 4D 5A 63 44 4E 06 6F 60 1F	[DFT]まあ 若いうちは\n失敗をおそれずに いろいろと\nやってみることじゃよ˳		pending
C0-0592C5	0x0592C5	0064	D7 3C 3C 80 88 80 89 06 6F 53 3F 20 18 3D 5E CD 80 52 0D 5D 46 4D 3C 40 68 40 52 0F CD 20 3D 68 20 80 52 49 3D CD 20 80 26 54 20 3C 3C 60 CC D7 3E 0F 4F 68 0D 81 C1 50 51 64 4D 63 40 6E 4D 0F CD 58 64 20 60 42 3C 3D 06 6F 65 CD 80 A6 5D 46 4A 4A 63 20 3C 3C 81 3E 4E 4F CD 58 6E 58 6E 58 6E 58 6E 1F	[DFT]いい天気じゃのお ぼうや\n話でもしていかんかね?\n うん 話そう\n 今は いいよ[TER][DFT]え?なんで雨にぬれてるかって?\nほれ よくいうじゃろ\n水もしたたる いい男とな\nほっほっほっほっ˳		pending
C0-05932A	0x05932A	0076	D0 18 3D 5E 50 20 3C 3C 44 4E 67 CD 80 DB 3E 4D 3F 3C 4D 5E 65 3D CD D4 48 73 16 0D 73 4A D5 67 20 D4 65 73 0E D5 46 4A 80 87 CD 40 61 0A 00 20 81 B5 5C 4C 47 63 06 6F 65 0F D1 3B 53 80 87 54 20 C3 02 81 48 80 53 80 40 80 41 C3 00 4F 68 06 6F 60 CD 80 53 50 20 40 44 59 64 4A 62 46 4A 61 CD 49 53 47 41 50 20 47 14 5E 42 CD 50 03 0A 47 44 4E 06 6F 4F 1F	[CLR]ぼうやに いいことを\n教えておいてやろう\n[KATAKANA]セーブデータ[HIRAGANA]を [KATAKANA]ロード[HIRAGANA]した時\nからだが 点めつするじゃろ?[FIN]あの時は [PAL:02]無敵状態[PAL:00]なんじゃよ\n敵に かこまれたりしたら\nそのすきに すばやく\nにげだすことじゃな˳		pending
C0-0593A1	0x0593A1	0012	D0 49 3D 40 7E 7E 7E CD 45 15 46 3C 53 3F 7E 7E 7E 1F	[CLR]そうか···\nさびしいのお···˳		pending
C0-0593B4	0x0593B4	001A	D7 DC 09 7E 7E 7E 7E 7E 7E DC 00 54 4D 0F CD 0A 64 40 20 60 68 0A 40 53 3D 0F	[DFT][NXT]ぞ······[NXT]がはて?\nだれか よんだかのう?		pending
C0-0593CF	0x0593CF	0014	D7 58 3F 20 52 07 5A 40 CD 40 66 3C 3C 5D 68 06 6F 53 3F 1F	[DFT]ほお ねずみか\nかわいいもんじゃのお˳		pending
C0-059562	0x059562	0095	D7 5B 5B 6E 20 3F 80 01 00 CD D4 3B 41 54 14 61 D5 53 80 E3 81 02 40 0F CD 80 26 80 EE CD 44 53 80 99 50 44 46 4D 41 4A 49 3D 0A 4F D1 3F 80 01 53 20 3F 5E 06 50 54 CD 80 27 80 14 80 8C 4E 40 3C 3D CD 4E 68 0D 5D 4F 3C 5D 53 53 3F 40 03 0D CD 80 B7 81 3B 67 20 40 43 61 64 4A 60 D1 3F 80 01 59 0D 20 80 99 53 80 46 4A 4B 50 CD 5C 3C 66 42 67 40 43 4A 61 CD 81 02 81 03 0D 5D 20 60 3D 46 6F 46 4F 3C 09 CD 42 64 02 64 5D 20 80 89 67 4C 43 65 60 7D	[DFT]むむっ お前が\n[KATAKANA]アキハバラ[HIRAGANA]の息子か?\n今度\nこの町にこしてきたそうだな[FIN]お前の おやじには\n発明品とかいう\nとんでもないもののおかげで\n迷惑を かけられたよ[FIN]お前まで 町の人たちに\nめいわくをかけたら\n子供でも ようしゃしないぞ\nくれぐれも 気をつけろよ!		pending
C0-0595F8	0x0595F8	003C	D7 3F 4E 4F 46 42 46 4D 3C 63 40 0F CD 4F 50 46 65 20 3F 80 01 53 3F 5E 06 54 CD 3C 65 3C 65 20 81 39 81 08 67 3F 44 46 4A 40 61 4F CD 3F 80 01 5D 20 5F 0A 68 0D 41 5E 46 4F 3C 1F	[DFT]おとなしくしているか?\nなにしろ お前のおやじは\nいろいろ 問題をおこしたからな\nお前も ゆだんできやしない˳		pending
C0-059635	0x059635	002A	D7 5B 6E 7E 7E 7E CD 0E 3D 5E 61 20 3F 80 01 54 CD 3F 5E 06 60 62 54 20 81 23 81 3A CD 80 F6 50 4A 4C 60 3D 06 6F 4F 3C 40 1F	[DFT]むっ···\nどうやら お前は\nおやじよりは 多少\n役にたつようじゃないか˳		pending
C0-059660	0x059660	006E	D8 7E 7E 7E 4E 3C 3D 44 4E 0D CD 04 80 B7 81 3B 67 20 3F 40 43 46 59 47 00 CD 81 02 81 03 4A 4B 53 20 80 D0 81 3C 50 CD 40 40 66 63 44 4E 0D 47 53 0D D1 60 65 46 42 20 04 81 05 80 32 42 0A 45 3C CD 4F 3F 20 80 AE 80 AF 54 80 F8 80 34 0D 47 53 0D CD 5A 4F 45 68 5D 20 3F 80 89 67 4C 43 4D CD C9 1E 0D 54 20 59 3C 62 59 46 71 3D 1F	[DF4]···ということで\nご迷惑を おかけしますが\n子供たちの 生命に\nかかわることですので[FIN]よろしく ご協力ください\nなお 河原は危険ですので\nみなさんも お気をつけて\n[PAU:1E]では まいりましょう˳		pending
C0-059748	0x059748	0033	D7 5B 5B 6E 7D CD 4F 68 0D 3F 59 3E 20 44 68 4F 80 3B 67 CD 56 61 56 61 46 4D 3C 63 68 0A 6E 7D 0F CD C9 1E 45 6E 45 4E 20 65 3D 5E 50 5D 0E 64 6E 7D 7D	[DFT]むむっ!\nなんでおまえ こんな所を\nふらふらしているんだっ!?\n[PAU:1E]さっさと ろうやにもどれっ!!		pending
C0-05977C	0x05977C	0059	D7 5B 5B 6E 7D C9 28 3F 4A 07 52 81 26 53 CD C2 00 06 6F 4F 3C 40 6E 7D D1 D3 B9 A5 D7 7E 7E 7E 80 52 54 20 41 3C 4A 60 CD 80 56 82 33 54 0E 3D 3B 64 20 81 48 80 1D 53 80 46 67 CD 59 4B 00 3E 4D 20 4A 3C 58 46 4A 4F 68 4D CD 3F 64 54 20 82 33 43 4F 3C 60 7E 7E 7E 1F	[DFT]むむっ![PAU:28]おたずね者の\n[NAM:00]じゃないかっ![FIN][JMP][BYTE:B9][BYTE:A5][DFT]···話は きいたよ\n事情はどうあれ 無実の人を\nまちがえて たいほしたなんて\nおれは 情けないよ···˳		pending
C0-0597D6	0x0597D6	0040	D7 81 1D 80 F1 4F 3B 20 80 99 53 81 02 81 03 00 CD 80 50 4F D4 61 6E 19 D5 0D 20 80 99 53 80 46 50 CD 3C 4A 07 61 46 4D 3C 63 5A 4A 3C 4F 68 0A CD 4C 40 59 3E 4D 20 4E 6E 4B 5C 4F 3C 4E 4F 7D	[DFT]最近なあ 町の子供が\n変な[KATAKANA]ラッパ[HIRAGANA]で 町の人に\nいたずらしているみたいなんだ\nつかまえて とっちめないとな!		pending
C0-059817	0x059817	0046	D7 D4 61 6E 19 D5 0D 3C 4A 07 61 46 4D 3C 4A 81 02 81 03 5D CD 3C 4A 07 61 67 20 5E 5C 4A 60 3D 0A CD 5A 68 4F 00 20 80 4C 80 2F 53 80 42 3C 80 3B 67 81 21 48 14 CD 80 A1 80 A2 4F 68 4D 20 3C 61 4F 3C 60 4F 1F	[DFT][KATAKANA]ラッパ[HIRAGANA]でいたずらしていた子供も\nいたずらを やめたようだ\nみんなが 自分の悪い所を正せば\n警察なんて いらないよな˳		pending
C0-05985E	0x05985E	001D	D7 4F 7E 4F 68 0A 20 3F 59 3E 54 6E 7D CD 80 A1 80 A2 67 20 4F 5C 4D 3C 63 53 40 6E 7D	[DFT]な·なんだ おまえはっ!\n警察を なめているのかっ!		pending
