# Generated for the current Korean preview from menus, game-screen prompts, and dialogue drafts.
# Uses script-unused slots in the verified 0x80xx/0x81xx/0x82xx 16x16 source font pages.
# character	codepoint	code bytes	file offset	2bpp tile bytes
건	U+AC74	80 74	0x51D00	FF FF FF FF FF F0 FF FF FF FE FF FE FF FD FF F3 FF FF FF FF FF 6F FF 6F FF 6F FF 0F FF EF FF EF FF E7 FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF EF FF EF FF FF FF FF FF 0F FF FF FF FF FF FF
걷	U+AC77	80 38	0x50E00	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 7F FF 7F FF FF FF 1F FF FF FF FF FF FF FF F8 FF FB FF FB FF F8 FF FF FF FF FF FF FF FF FF 1F FF FF FF FF FF 1F FF FF FF FF FF FF
걸	U+AC78	80 83	0x520C0	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 6F FF 6F FF 0F FF EF FF EF FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
것	U+AC83	80 9B	0x526C0	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 6F FF 6F FF EF FF 0F FF EF FF EF FF FF FF FE FF FE FF F9 FF F3 FF FF FF FF FF FF FF 6F FF 3F FF 3F FF 8F FF E7 FF FF FF FF FF FF
게	U+AC8C	80 9D	0x52740	FF FF FF FF FF F0 FF FE FF FC FF FC FF FD FF FB FF FF FF FF FF AF FF AF FF AF FF 2F FF AF FF AF FF F3 FF E7 FF FF FF FF FF FF FF FF FF FF FF FF FF AF FF AF FF AF FF AF FF AF FF FF FF FF FF FF
겠	U+ACA0	80 9E	0x52780	FF FF FF FF FF F0 FF FE FF FC FF F8 FF F3 FF E7 FF FF FF FF FF AF FF AF FF AF FF 2F FF AF FF AF FF FF FF FD FF FD FF F8 FF F7 FF FF FF FF FF FF FF EF FF DF FF DF FF 8F FF 27 FF FF FF FF FF FF
겨	U+ACA8	80 A1	0x52840	FF FF FF FF FF E0 FF FF FF FE FF FE FF FC FF F9 FF FF FF FF FF 6F FF 6F FF 0F FF EF FF EF FF 0F FF F3 FF E7 FF FF FF FF FF FF FF FF FF FF FF FF FF EF FF EF FF EF FF EF FF EF FF FF FF FF FF FF
격	U+ACA9	80 A2	0x52880	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 6F FF 6F FF 8F FF EF FF 8F FF EF FF FF FF F8 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF FF FF FF FF FF
견	U+ACAC	80 39	0x50E40	FF FF FF FF FF F0 FF FF FF FE FF FE FF FD FF F3 FF FF FF FF FF 6F FF 6F FF 0F FF EF FF 8F FF EF FF E7 FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF EF FF EF FF FF FF FF FF 0F FF FF FF FF FF FF
결	U+ACB0	80 00	0x50000	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 6F FF 0F FF EF FF 8F FF EF FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
겼	U+ACBC	80 3A	0x50E80	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 6F FF 6F FF 8F FF EF FF 8F FF EF FF FF FF FD FF FD FF F8 FF F7 FF FF FF FF FF FF FF FF FF DF FF DF FF 8F FF 27 FF FF FF FF FF FF
경	U+ACBD	80 A3	0x528C0	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 6F FF 6F FF 8F FF EF FF 8F FF EF FF FF FF FC FF F9 FF F9 FF FC FF FF FF FF FF FF FF FF FF 1F FF CF FF CF FF 1F FF FF FF FF FF FF
계	U+ACC4	80 AE	0x52B80	FF FF FF FF FF F0 FF FE FF FE FF FD FF FD FF FA FF FF FF FF FF AF FF AF FF 2F FF AF FF AF FF 2F FF F7 FF EF FF FF FF FF FF FF FF FF FF FF FF FF FF AF FF AF FF AF FF AF FF AF FF FF FF FF FF FF
고	U+ACE0	80 AF	0x52BC0	FF FF FF FF FF FF FF F0 FF FF FF FF FF FF FF FE FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF EF FF FE FF FE FF FE FF E0 FF FF FF FF FF FF FF FF FF EF FF EF FF FF FF 07 FF FF FF FF FF FF FF FF
곤	U+ACE4	80 3B	0x50EC0	FF FF FF FF FF F8 FF FF FF FE FF FE FF FE FF E0 FF FF FF FF FF 0F FF EF FF EF FF EF FF FF FF 07 FF FF FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 0F FF FF FF FF FF FF
골	U+ACE8	80 B5	0x52D40	FF FF FF FF FF F8 FF FF FF FE FF FE FF E0 FF FF FF FF FF FF FF 0F FF EF FF EF FF FF FF 07 FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
곳	U+ACF3	80 B6	0x52D80	FF FF FF FF FF F8 FF FF FF FE FF FE FF FE FF E0 FF FF FF FF FF 0F FF EF FF EF FF EF FF FF FF 07 FF FF FF FE FF FC FF F9 FF F3 FF FF FF FF FF FF FF FF FF FF FF 7F FF 9F FF CF FF FF FF FF FF FF
공	U+ACF5	80 BA	0x52E80	FF FF FF FF FF F8 FF FF FF FE FF FE FF FE FF E0 FF FF FF FF FF 0F FF EF FF EF FF EF FF FF FF 07 FF FF FF F8 FF F3 FF F3 FF F8 FF FF FF FF FF FF FF FF FF 1F FF CF FF CF FF 1F FF FF FF FF FF FF
과	U+ACFC	80 C3	0x530C0	FF FF FF FF FF E0 FF FF FF FF FF FF FF FB FF FB FF FF FF FF FF 6F FF 6F FF 6F FF 6F FF 63 FF 6F FF FB FF FB FF C0 FF FF FF FF FF FF FF FF FF FF FF EF FF EF FF 2F FF EF FF EF FF FF FF FF FF FF
괜	U+AD1C	80 C6	0x53180	FF FF FF FF FF F0 FF FE FF FA FF FA FF FB FF E0 FF FF FF FF FF AF FF AF FF AF FF 8F FF AF FF AF FF FF FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF AF FF AF FF FF FF FF FF 0F FF FF FF FF FF FF
괴	U+AD34	80 3C	0x50F00	FF FF FF FF FF F0 FF FF FF FF FF FF FF FD FF FD FF FF FF FF FF 6F FF 6F FF 6F FF 6F FF 6F FF 6F FF FD FF FD FF E0 FF FF FF FF FF FF FF FF FF FF FF EF FF EF FF 2F FF EF FF EF FF FF FF FF FF FF
교	U+AD50	80 C7	0x531C0	FF FF FF FF FF FF FF F0 FF FF FF FF FF FF FF FD FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF 6F FF FD FF FD FF FD FF E0 FF FF FF FF FF FF FF FF FF 6F FF 6F FF 7F FF 07 FF FF FF FF FF FF FF FF
구	U+AD6C	80 C8	0x53200	FF FF FF FF FF F8 FF FF FF FF FF FF FF FF FF E0 FF FF FF FF FF 0F FF EF FF EF FF CF FF DF FF 07 FF FE FF FE FF FE FF FE FF FE FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
국	U+AD6D	80 01	0x50040	FF FF FF FF FF F8 FF FF FF FF FF FF FF E0 FF FE FF FF FF FF FF 0F FF EF FF EF FF EF FF 07 FF FF FF FE FF F8 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF FF FF FF FF FF
군	U+AD70	80 CC	0x53300	FF FF FF FF FF F8 FF FF FF FF FF FF FF E0 FF FF FF FF FF FF FF 0F FF EF FF EF FF DF FF 07 FF 7F FF FF FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF 7F FF 7F FF 7F FF FF FF 0F FF FF FF FF FF FF
굳	U+AD73	80 42	0x51080	FF FF FF FF FF F8 FF FF FF FF FF FF FF E0 FF FE FF FF FF FF FF 0F FF EF FF EF FF DF FF 07 FF FF FF FE FF F8 FF FB FF FB FF F8 FF FF FF FF FF FF FF FF FF 0F FF FF FF FF FF 0F FF FF FF FF FF FF
굴	U+AD74	80 D4	0x53500	FF FF FF FF FF F8 FF FF FF FF FF FF FF E0 FF FE FF FF FF FF FF 0F FF EF FF EF FF DF FF 07 FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
귀	U+ADC0	80 43	0x510C0	FF FF FF FF FF F0 FF FF FF FF FF FF FF FF FF E0 FF FF FF FF FF 6F FF 6F FF 6F FF 6F FF 6F FF 2F FF FD FF FD FF FD FF FD FF FD FF FF FF FF FF FF FF EF FF EF FF EF FF EF FF EF FF FF FF FF FF FF
그	U+ADF8	80 D7	0x535C0	FF FF FF FF FF FF FF F8 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 1F FF DF FF DF FF DF FF DF FF FF FF FF FF FF FF E0 FF FF FF FF FF FF FF FF FF DF FF DF FF DF FF 07 FF FF FF FF FF FF FF FF
근	U+ADFC	80 DE	0x53780	FF FF FF FF FF F8 FF FF FF FF FF FF FF FF FF E0 FF FF FF FF FF 0F FF EF FF EF FF CF FF DF FF 07 FF FF FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 0F FF FF FF FF FF FF
금	U+AE08	80 E0	0x53800	FF FF FF FF FF F8 FF FF FF FF FF FF FF E0 FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF 07 FF FF FF F8 FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF 0F FF FF FF FF FF FF
기	U+AE30	80 E4	0x53900	FF FF FF FF FF E0 FF FF FF FE FF FE FF FC FF F9 FF FF FF FF FF 6F FF 6F FF 6F FF EF FF EF FF EF FF F3 FF E7 FF FF FF FF FF FF FF FF FF FF FF FF FF EF FF EF FF EF FF EF FF EF FF FF FF FF FF FF
긴	U+AE34	80 E5	0x53940	FF FF FF FF FF F0 FF FF FF FE FF FE FF FD FF F3 FF FF FF FF FF 6F FF 6F FF 6F FF EF FF EF FF EF FF E7 FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF EF FF EF FF FF FF FF FF 0F FF FF FF FF FF FF
길	U+AE38	80 03	0x500C0	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 6F FF 6F FF EF FF EF FF EF FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
김	U+AE40	80 E7	0x539C0	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 6F FF 6F FF EF FF EF FF EF FF EF FF FF FF F8 FF FB FF FB FF F8 FF FF FF FF FF FF FF FF FF 0F FF EF FF EF FF 0F FF FF FF FF FF FF
깊	U+AE4A	80 44	0x51100	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 7F FF 7F FF FF FF FF FF FF FF FF FF FF FF F0 FF FD FF FD FF F0 FF FF FF FF FF FF FF FF FF 1F FF DF FF DF FF 1F FF FF FF FF FF FF
까	U+AE4C	80 E8	0x53A00	FF FF FF FF FF E2 FF FB FF FB FF FB FF F2 FF F6 FF FF FF FF FF 5F FF 5F FF 5F FF 5F FF 47 FF 5F FF E6 FF EC FF FD FF FF FF FF FF FF FF FF FF FF FF DF FF DF FF DF FF DF FF DF FF FF FF FF FF FF
깐	U+AE50	80 45	0x51140	FF FF FF FF FF E2 FF FB FF F3 FF F6 FF EE FF FD FF FF FF FF FF 6F FF 6F FF 6F FF 67 FF EF FF EF FF FF FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF EF FF EF FF FF FF FF FF 0F FF FF FF FF FF FF
깜	U+AE5C	80 EB	0x53AC0	FF FF FF FF FF E2 FF FB FF F3 FF F6 FF EE FF FD FF FF FF FF FF 6F FF 6F FF 6F FF 67 FF EF FF EF FF FF FF F8 FF FB FF FB FF F8 FF FF FF FF FF FF FF FF FF 0F FF EF FF EF FF 0F FF FF FF FF FF FF
깨	U+AE68	80 EC	0x53B00	FF FF FF FF FF F0 FF FB FF FB FF FB FF F2 FF F6 FF FF FF FF FF 57 FF 57 FF 57 FF 57 FF 57 FF 47 FF E6 FF EC FF FD FF FF FF FF FF FF FF FF FF FF FF D7 FF D7 FF D7 FF D7 FF D7 FF FF FF FF FF FF
깼	U+AE7C	80 F3	0x53CC0	FF FF FF FF FF F0 FF FA FF F2 FF F4 FF ED FF FD FF FF FF FF FF AF FF AF FF AF FF 8F FF AF FF AF FF FF FF FD FF FD FF FA FF F7 FF FF FF FF FF FF FF EF FF DF FF DF FF 8F FF 27 FF FF FF FF FF FF
꺄	U+AE84	80 46	0x51180	FF FF FF FF FF E2 FF FB FF FB FF F3 FF F6 FF F6 FF FF FF FF FF 6F FF 6F FF 67 FF 6F FF 6F FF E7 FF EC FF FD FF FF FF FF FF FF FF FF FF FF FF FF FF EF FF EF FF EF FF EF FF EF FF FF FF FF FF FF
께	U+AED8	80 F4	0x53D00	FF FF FF FF FF F0 FF FB FF FB FF FB FF F2 FF F6 FF FF FF FF FF 57 FF 57 FF 57 FF 17 FF 57 FF D7 FF E6 FF EC FF FD FF FF FF FF FF FF FF FF FF FF FF D7 FF D7 FF D7 FF D7 FF D7 FF FF FF FF FF FF
꼬	U+AF2C	80 47	0x511C0	FF FF FF FF FF FF FF F1 FF FD FF FD FF F9 FF F9 FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF 6F FF FB FF FF FF FF FF E0 FF FF FF FF FF FF FF FF FF 6F FF 7F FF 7F FF 07 FF FF FF FF FF FF FF FF
꽃	U+AF43	80 F5	0x53D40	FF FF FF FF FF F1 FF FD FF F8 FF FE FF E0 FF FF FF FF FF FF FF 8F FF EF FF 6F FF 7F FF 07 FF FF FF FF FF F0 FF FE FF F8 FF F1 FF FF FF FF FF FF FF 7F FF 0F FF 7F FF 1F FF CF FF FF FF FF FF FF
꽤	U+AF64	80 F7	0x53DC0	FF FF FF FF FF E0 FF FB FF FB FF F3 FF F1 FF F5 FF FF FF FF FF 57 FF 57 FF 57 FF 57 FF 47 FF 57 FF FD FF FD FF E0 FF FF FF FF FF FF FF FF FF FF FF D7 FF D7 FF 57 FF D7 FF D7 FF FF FF FF FF FF
꿈	U+AFC8	80 FA	0x53E80	FF FF FF FF FF F9 FF FD FF FD FF FD FF E0 FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF 07 FF 7F FF FF FF F8 FF FB FF FB FF F8 FF FF FF FF FF FF FF 7F FF 0F FF EF FF EF FF 0F FF FF FF FF FF FF
꿨	U+AFE8	80 FC	0x53F00	FF FF FF FF FF F2 FF FB FF FB FF E0 FF FD FF FD FF FF FF FF FF 6F FF 6F FF 6F FF 2F FF EF FF 8F FF FF FF FD FF F9 FF F0 FF E6 FF FF FF FF FF FF FF EF FF DF FF 9F FF 0F FF 67 FF FF FF FF FF FF
끌	U+B04C	80 FD	0x53F40	FF FF FF FF FF F1 FF FD FF FD FF FD FF E0 FF FF FF FF FF FF FF 0F FF EF FF EF FF DF FF 07 FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
끝	U+B05D	80 FF	0x53FC0	FF FF FF FF FF F1 FF FD FF FD FF FD FF E0 FF FF FF FF FF FF FF 0F FF EF FF EF FF DF FF 07 FF FF FF F8 FF FB FF F8 FF FB FF F8 FF FF FF FF FF FF FF 1F FF FF FF 1F FF FF FF 0F FF FF FF FF FF FF
끼	U+B07C	80 48	0x51200	FF FF FF FF FF E2 FF FB FF FB FF F3 FF F7 FF F7 FF FF FF FF FF 2F FF AF FF AF FF 2F FF 6F FF 6F FF EE FF FC FF FF FF FF FF FF FF FF FF FF FF FF FF EF FF EF FF EF FF EF FF EF FF FF FF FF FF FF
낑	U+B091	80 4A	0x51280	FF FF FF FF FF F0 FF FD FF F9 FF F3 FF E6 FF FC FF FF FF FF FF 37 FF B7 FF 37 FF 77 FF 77 FF F7 FF FF FF FC FF F9 FF F9 FF FC FF FF FF FF FF FF FF FF FF 0F FF E7 FF E7 FF 0F FF FF FF FF FF FF
나	U+B098	81 08	0x54200	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F7 FF FF FF FF FF EF FF EF FF EF FF EF FF E3 FF EF FF F7 FF F0 FF FF FF FF FF FF FF FF FF FF FF FF FF EF FF 2F FF EF FF EF FF EF FF FF FF FF FF FF
난	U+B09C	81 0C	0x54300	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF DF FF DF FF DF FF C7 FF DF FF 1F FF FF FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF DF FF DF FF FF FF FF FF 0F FF FF FF FF FF FF
날	U+B0A0	81 0F	0x543C0	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF FF FF EF FF EF FF E7 FF EF FF 2F FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
남	U+B0A8	80 08	0x50200	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF FF FF EF FF EF FF E7 FF EF FF 2F FF EF FF FF FF F8 FF FB FF FB FF F8 FF FF FF FF FF FF FF FF FF 0F FF EF FF EF FF 0F FF FF FF FF FF FF
났	U+B0AC	81 14	0x54500	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF EF FF EF FF E7 FF EF FF EF FF 2F FF FF FF FD FF FD FF FA FF F7 FF FF FF FF FF FF FF FF FF DF FF DF FF 8F FF 27 FF FF FF FF FF FF
낭	U+B0AD	80 0A	0x50280	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF FF FF EF FF EF FF EF FF E7 FF 2F FF EF FF FF FF FC FF F9 FF F9 FF FC FF FF FF FF FF FF FF FF FF 1F FF CF FF CF FF 1F FF FF FF FF FF FF
낯	U+B0AF	81 17	0x545C0	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF FF FF EF FF EF FF EF FF E7 FF 2F FF EF FF FF FF F0 FF FE FF FC FF F3 FF FF FF FF FF FF FF 7F FF 0F FF 3F FF 1F FF CF FF FF FF FF FF FF
내	U+B0B4	81 1A	0x54680	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F7 FF FF FF FF FF AF FF AF FF AF FF AF FF AF FF 8F FF F7 FF F0 FF FF FF FF FF FF FF FF FF FF FF FF FF AF FF AF FF AF FF AF FF AF FF FF FF FF FF FF
낸	U+B0B8	80 4B	0x512C0	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF AF FF AF FF AF FF 8F FF AF FF AF FF FF FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF AF FF AF FF FF FF FF FF 0F FF FF FF FF FF FF
냈	U+B0C8	81 1E	0x54780	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF AF FF AF FF AF FF 8F FF AF FF AF FF FF FF FD FF FC FF F8 FF F3 FF FF FF FF FF FF FF FF FF DF FF DF FF 0F FF 27 FF FF FF FF FF FF
냐	U+B0D0	81 20	0x54800	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F7 FF FF FF FF FF DF FF DF FF C7 FF DF FF DF FF DF FF F7 FF F0 FF FF FF FF FF FF FF FF FF FF FF FF FF C7 FF 1F FF DF FF DF FF DF FF FF FF FF FF FF
냥	U+B0E5	80 4C	0x51300	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF FF FF EF FF E7 FF EF FF E7 FF 2F FF EF FF FF FF FC FF F9 FF F9 FF FC FF FF FF FF FF FF FF FF FF 1F FF CF FF CF FF 1F FF FF FF FF FF FF
너	U+B108	81 27	0x549C0	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F7 FF FF FF FF FF EF FF EF FF EF FF 0F FF EF FF EF FF F7 FF F0 FF FF FF FF FF FF FF FF FF FF FF FF FF EF FF 2F FF EF FF EF FF EF FF FF FF FF FF FF
넌	U+B10C	81 2C	0x54B00	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF EF FF EF FF 0F FF EF FF EF FF 2F FF FF FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF EF FF EF FF FF FF FF FF 0F FF FF FF FF FF FF
널	U+B110	81 2E	0x54B80	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF FF FF EF FF EF FF 0F FF EF FF 2F FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
넣	U+B123	80 4D	0x51340	FF FF FF FF FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF FF FF FF FF FF FF 1F FF FF FF 3F FF FF FF 7F FF F0 FF FF FF F8 FF F9 FF F8 FF FF FF FF FF FF FF 1F FF FF FF 0F FF CF FF 0F FF FF FF FF FF FF
네	U+B124	81 2F	0x54BC0	FF FF FF FF FF F7 FF F7 FF F7 FF F6 FF F7 FF F7 FF FF FF FF FF D7 FF D7 FF D7 FF 17 FF D7 FF D7 FF F7 FF F0 FF FF FF FF FF FF FF FF FF FF FF FF FF D7 FF 57 FF D7 FF D7 FF D7 FF FF FF FF FF FF
녀	U+B140	81 31	0x54C40	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F7 FF FF FF FF FF EF FF EF FF 0F FF EF FF 0F FF EF FF F7 FF F0 FF FF FF FF FF FF FF FF FF FF FF FF FF EF FF 2F FF EF FF EF FF EF FF FF FF FF FF FF
년	U+B144	80 0D	0x50340	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF EF FF 0F FF EF FF 0F FF EF FF 2F FF FF FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF EF FF EF FF FF FF FF FF 0F FF FF FF FF FF FF
녕	U+B155	80 50	0x51400	FF FF FF FF FF F7 FF F7 FF F7 FF F7 FF F7 FF F0 FF FF FF FF FF EF FF 0F FF EF FF 0F FF EF FF 2F FF FF FF FC FF F9 FF F9 FF FC FF FF FF FF FF FF FF EF FF 1F FF CF FF CF FF 1F FF FF FF FF FF FF
노	U+B178	81 38	0x54E00	FF FF FF FF FF FF FF FB FF FB FF FB FF FB FF FB FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F8 FF FF FF FF FF E0 FF FF FF FF FF FF FF FF FF 0F FF 7F FF 7F FF 07 FF FF FF FF FF FF FF FF
놀	U+B180	81 39	0x54E40	FF FF FF FF FF FB FF FB FF F8 FF FF FF E0 FF FF FF FF FF FF FF FF FF FF FF 0F FF 7F FF 07 FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
놈	U+B188	80 51	0x51440	FF FF FF FF FF FB FF FB FF FB FF F8 FF FF FF E0 FF FF FF FF FF FF FF FF FF FF FF 0F FF 7F FF 07 FF FF FF F8 FF FB FF FB FF F8 FF FF FF FF FF FF FF FF FF 0F FF EF FF EF FF 0F FF FF FF FF FF FF
